Name,AverageLifeSpan,WateringFrequency,Sunshine,Temperature,HeightMeter
Peace lily,3-5 years,Every 2-3 days,Every 6 weeks,tropical,0.4
Fiddle-leaf fig,10-15 years,Wait till the top layer of soil dry,Preferably daily,low-land tropical,12~ 15
Zanzibar Gem,20 years,Every 2-4 weeks,Small amount of fluorecent light,tropical,0.6~ 0.9
Jade plant,>10 years,Moist soil always,Preferably every day,warm,<1.5
Dracaena triascata,5-10 years,Wait till the top layer of soil dry,Filtered indoor light,tropical,0.7~ 0.9
Spider plant,2-5 years,Every day liberally,Preferably direct sunlight,tropical,0.6
Chinese evergreens,<25 years,Wait till soil dryout,Preferably sunlight but can survive with fluorecent light,sub-tropical,1.2
Rubber fig,25-50 years,Moist soil always,Bright indirect sunlight,tropical,<3
Sword fern,>5 years,Daily,2 hours sunlight per day,tropical,0.4~0.9
Philodendorn,70-100 years,Moist soil always,Bright indirect sunlight,tropical,0.9
Common ivy,<25 years,Wait till soil dryout,Medium to low light,winter,1.27~2.54
Areca palm,10 years,Every 2-3 days,Preferably low sunlight,sub-tropical,4.5~6
Aspidistra elatior,50 years,Moist soil always,Preferably low sunlight,high cold tolerance,0.94
Lace Leaf,5 years,Every 2-3 days,indirect light,mild climate,0.38~0.58
Devil's ivy,5-10 years,Every 5-7 days,indirect light,mild climate,20
Weeping fig,10-15 years,Wait till soil dryout,indirect light,mild climate,29
Dumb canes,5-10 years,Wait till soil dry mostly,diffused sunlight/partial shade,sub-tropical,1.5
African violets,50 years,Wait till the top layer of soil dry,strong indoor light/indirect light,tropical,0.02~0.4
Garden croton,25-50 years,Moist soil always,Bright indirect sunlight,mild climate,0.9
Sprenger's asparagus,<2 years,Moist soil always,strong light,tropical,0.7
Lucky bamboo,1-5 years,once per week,bright indirect light,sub-tropical,0.91
Radiator plants,50 years,Wait till soil dryout,bright indirect light,mild climate,0.3
Calatheas,2-3 years,Wait till the top layer of soil dry,indirect light,tropical,0.6
Swiss cheese plant,>3 years,Wait till the top layer of soil dry,Preferably plenty of light but can bear low light,tropical,3
Birds nest fern,1.8 years,Moist soil always,Medium to low light,tropical,0.6
Chamaedorea elegans,<25 years,Moist soil always,Preferably plenty of light but can bear low light,tropical,1.8~2
Schlumbergera,>20 years,Every 2-3 days,Bright indirect sunlight,mild climate,0.15~0.3
Zebra plant,<1 year,Wait till the top layer of soil dry,Bright indirect sunlight,mild climate,0.3~0.6
Chinese money plant,>3 years,Wait till soil dry mostly,Bright indirect sunlight,sub-tropical,0.2~0.3
Bunny ears cactus,>25years,Every 3-4 weeks,Bright direct sunlight,mild climate,0.6
Begonia,2-3 years,Wait till the top layer of soil dry,Bright direct sunlight,sub-tropical,0.45
Ponytail palm,10-100years,Every 2-3 weeks,Bright indirect sunlight,mild climate,6
Florist Kalanchoe,>1 year,Every 2-3 weeks,indirect light,sub-tropical,8.5
Alocasia,<15 years,Wait till the top layer of soil dry,bright indirect light,mild climate,1.2
Bromeliads,2~5 years,once per week,bright indirect light,mild climate,0.5~2.4
String of pearls,5 years,Wait till the top layer of soil dry,bright indirect light,sub-tropical,0.6~ 0.9
Dracaena,2~3 years,Wait till soil dry mostly,diffused light,sub-tropical,0.9
Maranta leuconeura,2~3 years,Moist soil always,Bright indirect sunlight,mild climate,0.2~0.3
Moth orchids,3~100 years,once per week,bright indirect light,mild climate,0.3
Crown of thorns,4~50 years,Wait till the top layer of soil dry,strong light,mild climate,1~2
Dwarf umbrella tree,50 years,Wait till the top layer of soil dry,bright indirect light,sub-tropical,3~7.6
Peacock plant,>25 years,Moist soil always,low light,mild climate,0.6
Peperomia obtusifolia,>2 years,Wait till the top layer of soil dry,indirect sunlight,mild climate,0.25~0.3
Oxalis triangularis,2 years,Wait till the top layer of soil dry,bright/direct sunlight,mild climate,0.3
Bird of paradise flower,1~2 weeks,Moist soil always,Bright indirect sunlight,tropical,1.54
Calathea orbifolia,2~3 years,Moist soil always,indirect light,mild climate,1
Aloe vera,4~12 years,Wait till the top layer of soil dry,bright/direct sunlight,mild climate,0.6~1
Echeveria elegans,3~10 years,water completely and wait till soil dry mostly,Bright indirect sunlight,mild climate,0.05~0.1
Burro's-tail,30~50 years,no more than once per month,indirect sunlight,sub-tropical,0.9
Portulacaria afra,>1 years,water completely and wait till soil dry mostly,indirect light,"ideally mild,high cold tolerance",2.4~3.6
Spiral aloe,52 years,water completely and wait till soil dry mostly,indirect light,"ideally mild,high cold tolerance",0.3
Haworthiopsis limifolia,<50 years,water completely and wait till soil dry mostly,Bright indirect sunlight,mild climate,0.07~0.5
Haworthia cooperi,5~20 years,water completely and wait till soil dry mostly,Bright indirect sunlight,mild climate,0.07~0.12
Haworthia cymbiformis,>20 years,water completely and wait till soil dry mostly,indirect light,mild climate,0.15
Hatiora salicornioides,400~600 years,water completely and wait till soil dry mostly,indirect light,mild climate,0.6~1
Peyote,<3000 years,once per week,Preferably plenty of light but can bear low light,mild climate,0.02~0.07
Haworthia truncata,,Wait till the top layer of soil dry,Preferably plenty of light but can bear low light,tropical,>0.2
Eastern Prickly Pear,>20 years,Wait till the top layer of soil dry,Preferably plenty of light but can bear low light,tropical,0.5~2
Cape aloe,>2 years,drought tolerant,bright/direct sunlight,mild climate,1.8~2.7
Astrophytum asterias,400~600 years,water completely and wait till soil dry mostly,bright/direct sunlight,sub-tropical,0.2~0.6
Pereskia aculeata,10~30 years,water completely and wait till soil dry mostly,bright/direct sunlight,tropical,10
,,,,,
Jasmine,15~20 years,water completely and wait till soil dry mostly,indirect sunlight,sub-tropical,3.04~4.5
Geraniums,2 ~40 years,Wait till soil dry mostly,Preferably direct sunlight 4~6 h per day,mild climate,0.3~0.9
Cape primrose,3~10 years,Wait till soil dryout,bright indirect light,mild climate,0.3
Poinsettia,1~2 years,Wait till the top layer of soil dry,indirect sunlight,mild climate,0.6~4
Asparagus setaceus,<20 years,Moist soil always,indirect light,mild climate,0.5~2.5
Daisy,3~4 years,Wait till soil dry mostly,indirect light,mild climate,0.6~ 0.9
Echeveria,>3 years,water completely and wait till soil dry mostly,strong light,mild climate,0.3
Polka dot plant,>2 years,Moist soil always,indirect sunlight,mild climate,0.4
Hyacinth,>4 years,mildly wet always,bright/direct sunlight,mild climate,0.15~0.3
Lavender,>15 years,drought tolerant,Preferably plenty of light but can bear low light,warm,0.68
Panda plant,die after flowering,Wait till the top layer of soil dry,bright light,mild climate,0.3~0.6
Flapjacks,1~2 years,Wait till soil dry mostly,bright light,mild climate,0.45
Paddle plant,>1 year,water completely and wait till soil dry mostly,bright light,warm,0.3~0.6
Kalanchoe Panamensis,>1 year,Wait till the top layer of soil dry,bright indirect light,mild climate,<0.45
Gasteria batesiana,10-15 years,once per week,bright light,"ideally mild,high cold tolerance",0.3~1
Hedgehog aloe,<25 years,Wait till soil dryout,bright/direct sunlight,mild climate,0.3~0.5
Tiger tooth aloe,>1 year,water completely and wait till soil dry mostly,indirect light,"ideally mild,high cold tolerance",0.24~0.3
Rhipsalis cereuscula,<70 years,water completely and wait till soil dry mostly,bright indirect light,mild climate,<0.61
Gymnocalycium mihanovichii,<5 years,once per month,Bright indirect sunlight,mild climate,<0.2
Haworthia retusa,15~20 years,Wait till soil dryout,Bright indirect sunlight,"ideally mild,high cold tolerance",0.07~0.12
Aloe brevifolia,60 years,Wait till soil dryout,Preferably direct sunlight 6~8 h per day,warm,0.3~0.6
Queen of the Night,25 years,Wait till soil dryout,bright indirect light,warm,<3.04
Fishbone cactus,>7 years,water completely and wait till soil dry mostly,indirect light,mild climate,>0.4
Lophophora,>30 years,Every 2 weeks,indirect light,"ideally mild,high cold tolerance",0.06
Mammillaria,10-100 years,water completely and wait till soil dry mostly,indirect light,warm,>0.3
Hedgehog cacti,<100 years,Every 4 days,bright light,warm,<0.5
Golden barrel cactus,<100 years,Wait till soil dryout,Preferably plenty of light but can bear low light,mild climate,0.2
Fasciated haworthia,70-100 years,water completely and wait till soil dry mostly,Bright indirect sunlight,sub-tropical,0.04~0.2
Haworthia bayeri,15~20 years,Wait till soil dryout,Preferably plenty of light but can bear low light,sub-tropical,0.07~0.12
Haworthia koelmaniorum,>10 years,Moist soil always,Preferably plenty of light but can bear low light,high cold tolerance,<0.35
Ficus microcarpa,>15 years,water completely and wait till soil dry mostly,medium light,mild climate,<18
Ficus retusa,<100 years,Moist soil always,indirect sunlight,mild climate,<10
Philodendron erubescens,>5 years,Wait till the top layer of soil dry,indirect sunlight,sub-tropical,<3.6
Asparagus setaceus,<20 years,Wait till the top layer of soil dry,indirect light,mild climate,<2.5
Bunch-flowered daffodil,>3 weeks,once per week,indirect light,mild climate,0.3~0.4
Nephthytis,>3 years,Moist soil always,Medium to low light,mild climate,<1.8